BUS,ACC,390,Accounting Internship,FLD,5,
BUS,ACC,400,Advanced Accounting,STN,24,
BUS,MKT,410,Advanced Advertising,STN,24,
BUS,MGT,390,Advanced Business Internship,FLD,10,
BUS,MGT,390,Advanced Business Internship,FLD,0,
BUS,FIN,410,Advanced Investment Topics,STN,24,
BUS,MKT,490,Advanced Marketing Internship,FLD,2,
BUS,MKT,330,Brand and Account Management,STN,23,
BUS,BUS,110,Business & Entrep. Mindset,STN,24,
BUS,BLW,140,Business Law I,STN,24,
BUS,BLW,245,Business Law II,STN,24,
BUS,MGT,460,Business Policy/Strategic Mgt,STN,24,
BUS,CCC,410INV,Capstone I: Design Thinking,STN,12,
BUS,CCC,410FIN,College Capstone - Finance,STN,24,
BUS,CCC,410,College Capstone: Business,STN,24,
BUS,MKT,210,Consumer Behavior,STN,24,
BUS,BUS,210,Corporate Social Responsibil.,STN,24,
BUS,ACC,340,Cost Accounting I,STN,24,
BUS,INV,210,Creativity & Innov. in Bus.,STN,24,
BUS,INV,365,Design Thinking,STN,12,
BUS,INV,410,Designing Innovative Orgs.,STN,24,
BUS,MKT,355,Dgt. Mkt. Metrics & Analysis,STN,24,
BUS,MKT,350,Digital Marketing,STN,24,
BUS,ECN,110,"Economics Survey of",STN,24,
BUS,INT,115,Exploring International Bus,STN,24,
BUS,ACC,310,Federal Taxes I,STN,24,
BUS,ACC,130,Financial Accounting,STN,24,
BUS,FIN,240,Financial Management I,STN,24,
BUS,FIN,340,Financial Management II,STN,24,
BUS,MGT,330,HRM I:Talent/Plng/Acquisition,STN,24,
BUS,MGT,265,Information Systems for Mgmt,STN,24,
BUS,BUS,310,Int'l Bus. & Macroeconomics,STN,24,
BUS,MKT,230,Integrated Advertising,STN,24,
BUS,MKT,440,Integrated Marketing Comm.,STN,24,
BUS,ACC,230,Intermediate Accounting I,STN,24,
BUS,INT,260,International Marketing,STN,24,
BUS,MGT,140,Intro to Game Develop. Mgmt,STN,24,
BUS,ACC,140,Managerial Accounting,STN,24,
BUS,ECN,255,Managerial Economics,STN,24,
BUS,MKT,110,Marketing,STN,24,
BUS,BUS,120,Marketing & the Org. Mindset,STN,24,
BUS,MKT,290,Marketing Internship,FLD,12,
BUS,MKT,255,Marketing Research,STN,23,
BUS,MGT,210,Mgmt & Organization Behavior,STN,24,
BUS,MGT,425,Problem Analysis/Decision Mkg.,STN,24,
BUS,MGT,320,Product/Operation Management,STN,24,
BUS,MGT,260,Project Mgmt & Team Leadership,STN,15,
BUS,BUS,115,Quantitative Lang. of Business,STN,24,
BUS,MGT,270,Small Business Management,STN,24,
BUS,INV,310,Strat Mgmt Innovation & Tech,STN,24,
CCM,GAA,205,2D Game Art,STN,20,
CCM,GAA,275,3D Animation I,STN,20,
CCM,GAA,235,3D Modeling,STN,20,
CCM,GAA,255,3D Modeling II,STN,20,
CCM,ART,380,Adv. Art History:Spec. Topics,STN,18,
CCM,BRD,330,Advanced Audio & Sound Design,STN,18,
CCM,FLM,325,Advanced Cinematography,STN,15,
CCM,GDD,315,Advanced Digital Image,STN,22,
CCM,WRT,325,Advanced Fiction Workshop,STN,14,
CCM,EGD,380B,Advanced Seminar: Game Design,STN,10,
CCM,GDD,301,Advanced Typography,STN,22,
CCM,GDD,301L,Advanced Typography Studio,STU,22,studio
CCM,IXD,200,Aesthetic Interactions,STN,20,
CCM,EGD,312,Applied Ludology,STN,10,
CCM,ART,120,Art History,STN,24,
CCM,FLM,230,Audio & Video Editing,STN,15,
CCM,FLM,230L,Audio & Video Editing Studio,STU,15,
CCM,BRD,130,Audio Production,STN,18,
CCM,BRD,475,Broadcast Field Practicum,"HYBRD STN",15,
CCM,BRD,216,Broadcast Writing,STN,15,
CCM,EVT,340,Business of Event Management,STN,24,
CCM,EMM,530,Causes of Emergence:Prog Lang,STU,8,
CCM,EMM,530UG,Causes of Emergence:Prog Lang,STU,6,
CCM,CCC,410,CC: Game Development,STN,100,
CCM,CCC,410,CC:Graphic Design & Dig Media,STN,20,
CCM,BRD,445,Client-Based Production,STN,18,
CCM,EMM,592,Collaborative Production,STN,15,
CCM,COM,220,Communication and Ethics,STN,20,
CCM,EVT,125,Creating Event Experiences,STN,24,
CCM,CRE,350L,Creative Media Port 2 - Studio,STU,16,studio
CCM,CRE,250L,Creative Media Port I- Studio,STU,16,studio
CCM,CRE,350,Creative Media Portfolio 2,STN,16,
CCM,CRE,400,Creative Media Salon 3,STN,18,
CCM,CRE,200,Creative Media Salon I,STN,13,
CCM,CRE,300,Creative Media Salon II,STN,16,
CCM,WRT,220,"Creative Writing Intermediate",STN,14,
CCM,WRT,120,"Creative Writing Introduction",STN,14,
CCM,COM,410,Crisis Communication,STN,20,
CCM,CRE,110,Critical History of Play,STN,16,
CCM,GDD,200L,Design & Communication Studio,STU,18,studio
CCM,GDD,200,Design and Communication,STN,18,
CCM,GDD,115L,Digital Image - Studio,STU,22,studio
CCM,FLM,260,Documentary Filmmaking,STN,15,
CCM,GAA,125,Drawing for Realism I,STN,20,
CCM,GAA,225,Drawing for Realism II,STN,20,
CCM,ART,110,"Drawing Introductory",STU,20,
CCM,EVT,315,"Evt Publicity Promo. & Spons",STN,24,
CCM,FLM,383,Experimental Moving Image,STN,18,
CCM,FLM,210,Film History,STN,17,
CCM,SON,340,Film Scoring,STN,18,
CCM,FLM,001,Film Screenings,STU,30,
